date,Voltage,ChargeCapacity
6/22/2018 21:37,3.875535011,1.061371207
6/22/2018 21:39,3.879713058,1.061371207
6/22/2018 21:41,4.200137138,0.011072565
6/22/2018 21:43,4.321866989,0.119492851
6/22/2018 21:45,4.360753059,0.228149667
6/22/2018 21:47,4.399998665,0.335942507
6/22/2018 21:49,4.400047302,0.429237008
6/22/2018 21:51,4.399921417,0.50627327
6/22/2018 21:53,4.399967194,0.571226716
6/22/2018 21:55,4.40000248,0.627361178
6/22/2018 21:57,4.400035858,0.677017927
6/22/2018 21:59,4.400006294,0.721794009
6/22/2018 22:01,4.400028229,0.762763321
6/22/2018 22:03,4.399978638,0.800600231
6/22/2018 22:05,4.400058746,0.835847437
6/22/2018 22:07,4.400052071,0.86890173
6/22/2018 22:09,4.400004387,0.899952114
6/22/2018 22:11,4.399945259,0.92915684
6/22/2018 22:13,4.400062561,0.956682265
6/22/2018 22:15,4.399924278,0.982621849
6/22/2018 22:17,4.399943352,1.007056832
6/22/2018 22:19,4.399967194,1.030112863
6/22/2018 22:21,4.399992943,1.041798472
6/22/2018 22:23,4.269229889,1.041800618
6/22/2018 22:25,4.25645256,1.041800618
6/22/2018 22:27,4.253158569,1.041800618
6/22/2018 22:29,3.331954002,1.041800618
6/22/2018 22:31,3.256063461,1.041800618
6/22/2018 22:33,3.170188904,1.041800618
6/22/2018 22:35,3.081953049,1.041800618
6/22/2018 22:37,2.999999046,1.041800618
6/22/2018 22:39,3.856290817,1.041800618
6/22/2018 22:41,3.875512123,1.041800618
6/22/2018 22:43,3.879756927,1.041800618
6/22/2018 22:45,4.200032234,0.011239091
6/22/2018 22:47,4.322339058,0.119650275
6/22/2018 22:49,4.362405777,0.228314146
6/22/2018 22:51,4.399997711,0.33593595
6/22/2018 22:53,4.400013924,0.428701073
6/22/2018 22:55,4.399991989,0.505391836
6/22/2018 22:57,4.399964333,0.570197642
6/22/2018 22:59,4.400001526,0.626430869
6/22/2018 23:01,4.399968147,0.676242054
6/22/2018 23:03,4.400075912,0.721103251
6/22/2018 23:05,4.400010109,0.762046933
6/22/2018 23:07,4.399986267,0.799840868
6/22/2018 23:09,4.399988174,0.834953249
6/22/2018 23:11,4.399947166,0.867772162
6/22/2018 23:13,4.400003433,0.89862448
6/22/2018 23:15,4.399971962,0.927679062
6/22/2018 23:17,4.400025368,0.955056429
6/22/2018 23:19,4.399997711,0.980864286
6/22/2018 23:21,4.399974823,1.005246162
6/22/2018 23:23,4.400015831,1.028303146
6/22/2018 23:25,4.399997711,1.040194035
6/22/2018 23:27,4.269420624,1.040195227
6/22/2018 23:29,4.256661415,1.040195227
6/22/2018 23:31,4.253351212,1.040195227
6/22/2018 23:33,3.33475399,1.040195227
6/22/2018 23:35,3.259449005,1.040195227
6/22/2018 23:37,3.174633026,1.040195227
6/22/2018 23:39,3.087557793,1.040195227
6/22/2018 23:41,2.999998093,1.040195227
6/22/2018 23:43,3.853582382,1.040195227
6/22/2018 23:45,3.872947693,1.040195227
6/22/2018 23:47,3.877249718,1.040195227
6/22/2018 23:49,4.200055122,0.012163205
6/22/2018 23:51,4.321246147,0.120568864
6/22/2018 23:53,4.360581398,0.229218274
6/22/2018 23:55,4.400011063,0.337085456
6/22/2018 23:57,4.399981499,0.430707633
6/22/2018 23:59,4.399973869,0.508377552
6/23/2018 0:01,4.400022507,0.574202478
6/23/2018 0:03,4.399991989,0.631364226
6/23/2018 0:05,4.399970055,0.682082415
6/23/2018 0:07,4.400057793,0.727739096
6/23/2018 0:09,4.400033951,0.769288778
6/23/2018 0:11,4.40001297,0.807487845
6/23/2018 0:13,4.400065422,0.842879355
6/23/2018 0:15,4.399971962,0.875911474
6/23/2018 0:17,4.399983406,0.906848252
6/23/2018 0:19,4.39999485,0.935945153
6/23/2018 0:21,4.399998665,0.96341759
6/23/2018 0:23,4.400011063,0.989390969
6/23/2018 0:25,4.400008202,1.013934493
6/23/2018 0:27,4.399989128,1.037142515
6/23/2018 0:29,4.399991989,1.052389264
6/23/2018 0:31,4.269276619,1.052390933
6/23/2018 0:33,4.256436348,1.052390933
6/23/2018 0:35,4.253120422,1.052390933
6/23/2018 0:37,3.329506874,1.052390933
6/23/2018 0:39,3.257138252,1.052390933
6/23/2018 0:41,3.173372269,1.052390933
6/23/2018 0:43,3.086010933,1.052390933
6/23/2018 0:45,2.999999046,1.052390933
6/23/2018 0:47,3.85439682,1.052390933
